ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1442266655.png;Pierre-Emile Hojbjerg;Mediocampo;.png;Pierre-Emile Hojbjerg.png;Denmark;1.442.266.655
1442267067.png;Mathias Jensen;Mediocampo;.png;Mathias Jensen.png;Denmark;1.442.267.067
1442267001.png;Christian Norgaard;Mediocampo;.png;Christian Norgaard.png;Denmark;1.442.267.001
1442267629.png;Yussuf Poulsen;Delantero;.png;Yussuf Poulsen.png;Denmark;1.442.267.629
1442267611.png;Martin Braithwaite;Delantero;.png;Martin Braithwaite.png;Denmark;1.442.267.611
1442266858.png;Andreas Cornelius;Delantero;.png;Andreas Cornelius.png;Denmark;1.442.266.858
1442266793.png;Kasper Dolberg;Delantero;.png;Kasper Dolberg.png;Denmark;1.442.266.793
1442266453.png;Andreas Skov Olsen;Delantero;.png;Andreas Skov Olsen.png;Denmark;1.442.266.453
1442266493.png;Mikkel Damsgaard;Delantero;.png;Mikkel Damsgaard.png;Denmark;1.442.266.493
1442266963.png;Jonas Wind;Delantero;.png;Jonas Wind.png;Denmark;1.442.266.963
1442267041.png;Robert Skov;Delantero;.png;Robert Skov.png;Denmark;1.442.267.041
1442266434.png;Jesper Lindstrom;Delantero;.png;Jesper Lindstrom.png;Denmark;1.442.266.434
1442266237.png;DT Kasper Hjulmand;DT;.png;DT Kasper Hjulmand.png;Denmark;1.442.266.237
1442523774.png;Kamil Grabara;Arquero;.png;Kamil Grabara*.png;Poland;1.442.523.774
1442523938.png;Łukasz Skorupski;Arquero;.png;Łukasz Skorupski.png;Poland;1.442.523.938
1442522727.png;Wojciech Szczęsny;Arquero;.png;Wojciech Szczęsny.png;Poland;1.442.522.727
1442525792.png;Robert Gumny;Defensor;.png;Robert Gumny.png;Poland;1.442.525.792
1442528548.png;Nicola Zalewski;Defensor;.png;Nicola Zalewski.png;Poland;1.442.528.548
1442525075.png;Jan Bednarek;Defensor;.png;Jan Bednarek.png;Poland;1.442.525.075
1442525121.png;Bartosz Bereszyński;Defensor;.png;Bartosz Bereszyński.png;Poland;1.442.525.121
1442524978.png;Kamil Glik;Defensor;.png;Kamil Glik.png;Poland;1.442.524.978
1442525370.png;Matty Cash;Defensor;.png;Matty Cash.png;Poland;1.442.525.370
1442528096.png;Mateusz Wieteska;Defensor;.png;Mateusz Wieteska.png;Poland;1.442.528.096
1442527457.png;Jakub Kiwior;Defensor;.png;Jakub Kiwior.png;Poland;1.442.527.457
1442527379.png;Artur Jędrzejczyk;Defensor;.png;Artur Jędrzejczyk.png;Poland;1.442.527.379
1442525148.png;Krystian Bielik;Mediocampo;.png;Krystian Bielik.png;Poland;1.442.525.148
1442525453.png;Przemysław Frankowski;Mediocampo;.png;Przemysław Frankowski.png;Poland;1.442.525.453
1442525536.png;Kamil Grosicki;Mediocampo;.png;Kamil Grosicki.png;Poland;1.442.525.536
1442527538.png;Jakub Kamiński;Mediocampo;.png;Jakub Kamiński.png;Poland;1.442.527.538
1442524550.png;Grzegorz Krychowiak;Mediocampo;.png;Grzegorz Krychowiak.png;Poland;1.442.524.550
1442527857.png;Michał Skóraś;Mediocampo;.png;Michał Skóraś.png;Poland;1.442.527.857
1442527918.png;Damian Szymański;Mediocampo;.png;Damian Szymański.png;Poland;1.442.527.918
1442528061.png;Sebastian Szymański;Mediocampo;.png;Sebastian Szymański.png;Poland;1.442.527.918
1442525266.png;Piotr Zieliński;Mediocampo;.png;Piotr Zieliński.png;Poland;1.442.525.266
1442528864.png;Szymon Żurkowski;Mediocampo;.png;Szymon Żurkowski.png;Poland;1.442.528.864
1442524010.png;Robert Lewandowski;Delantero;.png;Robert Lewandowski.png;Poland;1.442.524.010
1442525034.png;Arkadiusz Milik;Delantero;.png;Arkadiusz Milik.png;Poland;1.442.525.034
1442527744.png;Krzysztof Piątek;Delantero;.png;Krzysztof Piątek.png;Poland;1.442.527.744
1442528259.png;Karol Świderski;Delantero;.png;Karol Świderski.png;Poland;1.442.528.259
1442522699.png;DT Czeslaw Michniewicz;DT;.png;DT Czeslaw Michniewicz.png;Poland;1.442.522.699
1441890376.png;Yan Sommer;Portero;.png;Yan Sommer.png;Switzerland;1.441.890.376
1441891522.png;Jonas Omlin;Portero;.png;Jonas Omlin.png;Switzerland;1.441.891.522
1441890332.png;Gregor Kobel;Portero;.png;Gregor Kobel.png;Switzerland;1.441.890.332
1441890363.png;Philipp Köhn;Portero;.png;Philipp Köhn.png;Switzerland;1.441.890.363
